Name,Continent,Region,LifeExp (2000),Population (2015),Median Age
Niger,Africa,Western Africa,41.3,21563607,15
Angola,Africa,Central Africa,38.3,26655513,16
Chad,Africa,Central Africa,50.5,14965482,16
Uganda,Africa,Eastern Africa,42.9,41652938,16
Mali,Africa,Western Africa,46.7,18689966,16
DR Congo,Africa,Central Africa,48.8,82242685,17
Malawi,Africa,Eastern Africa,37.6,18298679,17
Mozambique,Africa,Eastern Africa,37.5,29537914,17
Somalia,Africa,Eastern Africa,46.2,11391962,17
Tanzania,Africa,Eastern Africa,52.3,56877529,17
Zambia,Africa,Eastern Africa,37.2,17237931,17
Burkina Faso,Africa,Western Africa,46.7,19173322,17
Gambia,Africa,Western Africa,53.2,2120418,17
Burundi,Africa,Eastern Africa,46.2,11936481,18
Cote d-Ivoire,Africa,Western Africa,45.2,23815886,18
Nigeria,Africa,Western Africa,51.6,191835936,18
Senegal,Africa,Western Africa,62.2,16054275,18
Cameroon,Africa,Central Africa,54.8,24513689,19
Congo,Africa,Central Africa,47.4,4866243,19
Sao Tome and Principe,Africa,Central Africa,65.3,198481,19
Eritrea,Africa,Eastern Africa,55.8,5481906,19
Ethiopia,Africa,Eastern Africa,45.2,104344901,19
Kenya,Africa,Eastern Africa,48,48466928,19
Madagascar,Africa,Eastern Africa,55,25612972,19
Mayotte,Africa,Eastern Africa,59.5,253068,19
Rwanda,Africa,Eastern Africa,39.3,12159586,19
Zimbabwe,Africa,Eastern Africa,37.8,16337760,19
South Sudan,Africa,Northern Africa,56.6,13096190,19
Sudan,Africa,Northern Africa,56.6,42166323,19
Benin,Africa,Western Africa,50.2,11458611,19
Guinea,Africa,Western Africa,45.6,13290659,19
Guinea-Bissau,Africa,Western Africa,49,1932871,19
Liberia,Africa,Western Africa,51,4730437,19
Sierra Leone,Africa,Western Africa,45.3,6732899,19
Togo,Africa,Western Africa,54.7,7691915,19
Central African Republic,Africa,Central Africa,44,5098826,20
Comoros,Africa,Eastern Africa,60,825920,20
Mauritania,Africa,Western Africa,50.8,4266448,20
Equatorial Guinea,Africa,Central Africa,53.6,894464,21
Gabon,Africa,Central Africa,50.1,1801232,21
Lesotho,Africa,Southern Africa,50.8,2185159,21
Namibia,Africa,Southern Africa,42.5,2568569,21
Swaziland,Africa,Southern Africa,40.4,1320356,21
Ghana,Africa,Western Africa,57.4,28656723,21
Djibouti,Africa,Eastern Africa,50.8,911382,24
Botswana,Africa,Southern Africa,39.3,2343981,24
Egypt,Africa,Northern Africa,63.3,95215102,25
Cabo Verde,Africa,Western Africa,68.9,533468,25
South Africa,Africa,Southern Africa,51.1,55436360,26
Algeria,Africa,Northern Africa,69.7,41063753,28
Libya,Africa,Northern Africa,75.5,6408742,28
Morocco,Africa,Northern Africa,69.1,35241418,28
Western Sahara,Africa,Northern Africa,49.8,596021,29
Tunisia,Africa,Northern Africa,73.7,11494760,31
Seychelles,Africa,Eastern Africa,70.4,97539,33
Reunion,Africa,Eastern Africa,72.7,873356,34
Mauritius,Africa,Eastern Africa,71,1281353,35
Afghanistan,Asia,Southern and Central Asia,45.9,34169169,18
